,Formulas
1216,La3 Al1 O1
1217,La4 Al14 Ni2
1218,La1 Mg1 Ni4
1219,La3 P6 Pd20
1220,La16 Mg4 Ir4
1221,K2 La2 Mg12
1222,K2 La2 Mg12
1223,La6 Fe2 O12
1224,La3 Ta2 N6
1225,La1 Er1 Al4
1226,La4 B20 O36
1227,La1 Si3 Ru1
1228,La11 Mn12 O36
1229,La22 Mn24 O72
1230,La2 Zn1 Ag1
1231,La1 Tm1 B12
1232,La1 Al1 Co4
1233,La1 Mn7 O12
1234,La1 Mn7 O12
1235,La1 Pm1 Tl2
1236,La10 Pb6 I2
1237,La20 Ga6 Co14
1238,La1 Mn4 Al8
1239,La10 U1 S16
1240,La2 Ho6 S12
1241,La2 Mg12 Ti2
1242,La2 Mg12 Ti2
1243,La12 Si4 Cl12
1244,La1 Pr1 Al4
1245,La2 P3 Rh3
1246,La2 Cu2 Sb4
1247,La1 Co2 B2
1248,La4 Pb2 Se8
1249,La10 Cu2 Ge6
1250,La2 Nb2 O8
1251,La2 Nb2 O8
1252,Ba20 La4 Si24
1253,La6 Ga6 Bi12
1254,Rb2 La2 Mg12
1255,Rb2 La2 Mg12
1256,La3 Ce4 O12
1257,La1 Ta1 O3
1258,La8 Sn2 Bi4
1259,La2 Mg2 Se6
1260,La4 Mg2 O8
1261,La2 Mg1 O4
1262,Li2 La1 Tl1
1263,La3 B2 N4
1264,La2 Nd2 I8
1265,La1 Nb2 O7
1266,La2 Ta6 O18
1267,La4 Ta12 O36
1268,La18 Ni10 S42
1269,La1 Mg14 Cu1
1270,La1 Mg14 Cu1
1271,La2 Os2 N6
1272,La4 Os4 N12
1273,La2 Os2 N6
1274,La4 Os4 N12
1275,La2 Os2 N6
1276,La1 Os1 N3
1277,La20 Ga10 Br8
1278,La1 Ge4 Rh6
1279,La2 Al2 Zn2
1280,La2 Br2 O1
1281,La4 Zr4 O14
1282,La4 Zr4 O14
1283,La4 Zr4 O14
1284,La2 Te1 I2
1285,La1 Ag1 O2
1286,La2 Ag2 O4
1287,La2 Fe2 Si4
1288,La4 Ce1 Zn5
1289,La2 Ce2 Cu24
1290,La9 Ni6 O19
1291,La1 Tl1 Hg2
1292,La4 Ni3 Pb4
1293,La2 W19 O57
1294,La2 Al2 Si2
1295,La1 Y1 Hg2
1296,La16 C16 Cl10
1297,La1 Ag1 Au2
